"number","category","subcategory"
"INC0300783","Degraded Service",""
"INC0300782","",""
"INC0300781","Degraded Service",""
"INC0300780","Assistance",""
"INC0300779","Degraded Service",""
"INC0300778","Degraded Service",""
"INC0300777","Degraded Service",""
"INC0300776","Degraded Service",""
"INC0300775","Degraded Service",""
"INC0300774","Degraded Service",""
"INC0300773","Security","Loss of service"
"INC0300772","",""
"INC0300771","Degraded Service",""
"INC0300770","Degraded Service",""
"INC0300769","Degraded Service",""
"INC0300768","Hardware",""
"INC0300767","Degraded Service",""
"INC0300766","Degraded Service",""
"INC0300765","Degraded Service",""
"INC0300764","Degraded Service",""
"INC0300763","Degraded Service",""
"INC0300762","Degraded Service",""
"INC0300760","Degraded Service",""
"INC0300759","Degraded Service",""
"INC0300758","Degraded Service",""
"INC0300757","Degraded Service",""
"INC0300756","Degraded Service",""
"INC0300755","Degraded Service",""
"INC0300754","Degraded Service",""
"INC0300753","Degraded Service",""
"INC0300752","Hardware issue",""
"INC0300751","Degraded Service",""
"INC0300750","Assistance",""
"INC0300749","Assistance",""
"INC0300748","Degraded Service",""
"INC0300747","Degraded Service",""
"INC0300746","Degraded Service",""
"INC0300745","Degraded Service",""
"INC0300744","Degraded Service",""
"INC0300743","Data management",""
"INC0300742","Degraded Service",""
"INC0300741","Assistance",""
"INC0300740","Data management",""
"INC0300739","Data management",""
"INC0300738","Degraded Service",""
"INC0300737","Degraded Service",""
"INC0300736","Hardware issue",""
"INC0300735","Degraded Service",""
"INC0300734","Assistance",""
"INC0300733","Degraded Service",""
"INC0300732","Degraded Service",""
"INC0300731","Degraded Service",""
"INC0300730","Degraded Service",""
"INC0300729","Degraded Service",""
"INC0300728","Information",""
"INC0300727","Degraded Service",""
"INC0300725","Degraded Service",""
"INC0300724","Degraded Service",""
"INC0300723","Hardware",""
"INC0300722","Assistance",""
"INC0300721","Degraded Service",""
"INC0300720","Degraded Service",""
"INC0300719","Assistance",""
"INC0300718","Access rights",""
"INC0300717","Degraded Service",""
"INC0300716","Assistance",""
"INC0300715","Account Locked",""
"INC0300714","BitLocker",""
"INC0300713","Assistance",""
"INC0300712","Degraded Service",""
"INC0300711","Degraded Service",""
"INC0300710","Degraded Service",""
"INC0300709","Degraded Service",""
"INC0300708","Degraded Service",""
"INC0300707","Degraded Service",""
"INC0300706","Degraded Service",""
"INC0300705","Degraded Service",""
"INC0300704","Assistance",""
"INC0300703","Degraded Service",""
"INC0300702","Assistance",""
"INC0300701","Degraded Service",""
"INC0300700","Degraded Service",""
"INC0300699","BitLocker",""
"INC0300698","Degraded Service",""
"INC0300697","Degraded Service",""
"INC0300696","Assistance",""
"INC0300695","Assistance",""
"INC0300694","Degraded Service",""
"INC0300693","Degraded Service",""
"INC0300692","Degraded Service",""
"INC0300691","Degraded Service",""
"INC0300690","Degraded Service",""
"INC0300689","Degraded Service",""
"INC0300688","Degraded Service",""
"INC0300687","Access rights",""
"INC0300685","Degraded Service",""
"INC0300684","Degraded Service",""
"INC0300683","BitLocker",""
"INC0300682","Degraded Service",""
"INC0300681","Degraded Service",""
"INC0300680","Degraded Service",""
"INC0300679","Degraded Service",""
"INC0300678","Information",""
"INC0300677","Degraded Service",""
"INC0300676","Degraded Service",""
"INC0300675","Degraded Service",""
"INC0300674","Degraded Service",""
"INC0300673","Degraded Service",""
"INC0300672","Degraded Service",""
"INC0300671","Degraded Service",""
"INC0300670","Degraded Service",""
"INC0300669","BitLocker",""
"INC0300668","Hardware",""
"INC0300667","Assistance",""
"INC0300666","Assistance",""
"INC0300665","Degraded Service",""
"INC0300664","Degraded Service",""
"INC0300663","Assistance",""
"INC0300662","Hardware",""
"INC0300661","Degraded Service",""
"INC0300660","Degraded Service",""
"INC0300659","Hardware",""
"INC0300658","Degraded Service",""
"INC0300657","Degraded Service",""
"INC0300656","Degraded Service",""
"INC0300655","Degraded Service",""
"INC0300654","Degraded Service",""
"INC0300653","Hardware",""
"INC0300652","Degraded Service",""
"INC0300651","Degraded Service",""
"INC0300650","Degraded Service",""
"INC0300649","Degraded Service",""
"INC0300648","Information",""
"INC0300647","Information",""
"INC0300646","BitLocker",""
"INC0300645","Degraded Service",""
"INC0300644","Degraded Service",""
"INC0300643","Degraded Service",""
"INC0300642","Access rights",""
"INC0300641","Degraded Service",""
"INC0300640","Degraded Service",""
"INC0300639","Assistance",""
"INC0300638","Hardware issue",""
"INC0300637","Assistance",""
"INC0300636","Degraded Service",""
"INC0300635","Account Locked",""
"INC0300634","Degraded Service",""
"INC0300633","Degraded Service",""
"INC0300632","Degraded Service",""
"INC0300631","Assistance",""
"INC0300630","BitLocker",""
"INC0300629","Account Locked","Other"
"INC0300628","Assistance",""
"INC0300627","Access rights",""
"INC0300626","BitLocker",""
"INC0300625","Degraded Service",""
"INC0300624","Access rights",""
"INC0300623","Hardware issue",""
"INC0300622","Degraded Service",""
"INC0300621","Access rights",""
"INC0300620","Degraded Service",""
"INC0300619","Hardware issue",""
"INC0300618","Degraded Service",""
"INC0300617","Degraded Service",""
"INC0300616","Degraded Service",""
"INC0300614","Degraded Service",""
"INC0300613","Assistance",""
"INC0300612","Degraded Service",""
"INC0300611","Degraded Service",""
"INC0300610","Degraded Service",""
"INC0300609","Degraded Service",""
"INC0300608","Degraded Service",""
"INC0300607","Degraded Service",""
"INC0300606","Degraded Service",""
"INC0300605","Assistance",""
"INC0300604","Degraded Service",""
"INC0300603","Degraded Service",""
"INC0300602","Degraded Service",""
"INC0300601","Degraded Service",""
"INC0300600","Account Locked",""
"INC0300599","Degraded Service",""
"INC0300598","Access rights",""
"INC0300597","Degraded Service",""
"INC0300596","Degraded Service",""
"INC0300595","Degraded Service",""
"INC0300594","Degraded Service",""
"INC0300593","Hardware issue",""
"INC0300592","Degraded Service",""
"INC0300591","Degraded Service",""
"INC0300590","Degraded Service",""
"INC0300589","Hardware",""
"INC0300588","Degraded Service",""
"INC0300587","Assistance",""
"INC0300585","Assistance",""
"INC0300584","Degraded Service",""
"INC0300583","Assistance",""
"INC0300582","Assistance",""
"INC0300581","Degraded Service",""
"INC0300580","Degraded Service",""
"INC0300579","Degraded Service",""
"INC0300578","Degraded Service",""
"INC0300577","Degraded Service",""
"INC0300575","Degraded Service",""
"INC0300574","Degraded Service",""
"INC0300573","Degraded Service",""
"INC0300572","Assistance",""
"INC0300571","Degraded Service",""
"INC0300570","Hardware issue",""
"INC0300569","Degraded Service",""
"INC0300568","Degraded Service",""
"INC0300567","Degraded Service",""
"INC0300566","Assistance",""
"INC0300565","Hardware",""
"INC0300563","Degraded Service",""
"INC0300564","Degraded Service",""
"INC0300562","Degraded Service",""
"INC0300561","Assistance",""
"INC0300560","Degraded Service",""
"INC0300559","Degraded Service",""
"INC0300558","Assistance",""
"INC0300557","Degraded Service",""
"INC0300556","Degraded Service",""
"INC0300555","Degraded Service",""
"INC0300554","Degraded Service",""
"INC0300553","Degraded Service",""
"INC0300552","Degraded Service",""
"INC0300551","BitLocker",""
"INC0300550","Degraded Service",""
"INC0300549","Degraded Service",""
"INC0300548","BitLocker",""
"INC0300547","Assistance",""
"INC0300546","Degraded Service",""
"INC0300545","Degraded Service",""
"INC0300544","Degraded Service",""
"INC0300543","Degraded Service",""
"INC0300542","Degraded Service",""
"INC0300541","Degraded Service",""
"INC0300540","Degraded Service",""
"INC0300539","Degraded Service",""
"INC0300538","Degraded Service",""
"INC0300537","Degraded Service",""
"INC0300536","Degraded Service",""
"INC0300535","Degraded Service",""
"INC0300534","Degraded Service",""
"INC0300533","Degraded Service",""
"INC0300532","Degraded Service",""
"INC0300531","Degraded Service",""
"INC0300530","Degraded Service",""
"INC0300529","Degraded Service",""
"INC0300528","Degraded Service",""
"INC0300527","Degraded Service",""
"INC0300526","Degraded Service",""
"INC0300525","Degraded Service",""
"INC0300524","Degraded Service",""
"INC0300523","Degraded Service",""
"INC0300522","Degraded Service",""
"INC0300521","Degraded Service",""
"INC0300520","Degraded Service",""
"INC0300519","Degraded Service",""
"INC0300518","Degraded Service",""
"INC0300517","Degraded Service",""
"INC0300516","Degraded Service",""
"INC0300515","Degraded Service",""
"INC0300514","Degraded Service",""
"INC0300513","Degraded Service",""
"INC0300512","Degraded Service",""
"INC0300511","Degraded Service",""
"INC0300510","Degraded Service",""
"INC0300509","Degraded Service",""
"INC0300508","Degraded Service",""
"INC0300507","Degraded Service",""
"INC0300506","Degraded Service",""
"INC0300505","Degraded Service",""
"INC0300504","Degraded Service",""
"INC0300503","Degraded Service",""
"INC0300502","Degraded Service",""
"INC0300501","Degraded Service",""
"INC0300500","BitLocker",""
"INC0300499","Degraded Service",""
"INC0300498","Account Locked",""
"INC0300497","Degraded Service",""
"INC0300496","Degraded Service",""
"INC0300495","Degraded Service",""
"INC0300494","Degraded Service",""
"INC0300493","Degraded Service",""
"INC0300492","Degraded Service",""
"INC0300491","Degraded Service",""
"INC0300490","Degraded Service",""
"INC0300489","Degraded Service",""
"INC0300488","Degraded Service",""
"INC0300487","Degraded Service",""
"INC0300486","BitLocker",""
"INC0300485","Assistance",""
"INC0300484","Degraded Service",""
"INC0300483","Degraded Service",""
"INC0300482","Degraded Service",""
"INC0300481","Degraded Service",""
"INC0300480","Degraded Service",""
"INC0300479","Degraded Service",""
"INC0300478","Degraded Service",""
"INC0300477","Degraded Service",""
"INC0300476","Degraded Service",""
"INC0300475","Degraded Service",""
"INC0300474","Degraded Service",""
"INC0300473","Degraded Service",""
"INC0300472","Degraded Service",""
"INC0300471","Degraded Service",""
"INC0300470","Degraded Service",""
"INC0300469","Degraded Service",""
"INC0300468","Degraded Service",""
"INC0300467","Degraded Service",""
"INC0300466","Degraded Service",""
"INC0300465","Degraded Service",""
"INC0300464","Degraded Service",""
"INC0300463","Degraded Service",""
"INC0300462","Degraded Service",""
"INC0300461","Degraded Service",""
"INC0300460","Hardware",""
"INC0300459","Degraded Service",""
"INC0300458","Degraded Service",""
"INC0300457","Degraded Service",""
"INC0300456","Assistance",""
"INC0300455","Password loss or expired",""
"INC0300453","Degraded Service",""
"INC0300452","Hardware",""
"INC0300451","Degraded Service",""
"INC0300450","Degraded Service",""
"INC0300449","Degraded Service",""
"INC0300448","Hardware",""
"INC0300447","Degraded Service",""
"INC0300446","Assistance",""
"INC0300445","Information",""
"INC0300444","Degraded Service",""
"INC0300443","Assistance",""
"INC0300442","Degraded Service",""
"INC0300441","Access rights",""
