"sys_id","number","short_description","priority","urgency","impact","state","category","subcategory","opened_at","resolved_at","closed_at","location","cmdb_ci","assignment_group","sys_updated_on"
"f5d026bc85444f50b210b11f4b121be6","INC0303164","Assistance connecting forticlient","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Access rights","","02.04.2026 10:50:27","02.04.2026 10:51:32","","","","PRE ICT L2 Support","02.04.2026 10:51:32"
"94d0ea74958c8f505df6650d2f759ddd","INC0303163","Not connecting to FortiClient.","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","02.04.2026 10:50:21","02.04.2026 10:51:14","","","","L1 ServiceDesk","02.04.2026 10:51:14"
"f4bfd6fcc800cf50f7c4a19afc1a2012","INC0303162","? Prometheus - orgcatapp01p.icrc.fewg - WindowsServerDown","4 - Low","3 - Low","3 - Low (less than 100 users)","New","Degraded Service","","02.04.2026 10:45:28","","","","","TI DIWP OpenSource Information Preservation","02.04.2026 10:45:28"
"78bd9ab8954c8f505df6650d2f759d38","INC0303160","Openshift worker  iksprod-k4mj4-worker-b3-gg8pn - disk 7 issue","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Assistance","","02.04.2026 10:36:44","","","","","TI TECH CIS Core Infra","02.04.2026 10:38:05"
"7adc96fc84488f90edc2850207094f93","INC0303159","Wifi network issue ","4 - Low","3 - Low","3 - Low (less than 100 users)","New","","","02.04.2026 10:33:51","","","","","L1 ServiceDesk","02.04.2026 10:33:51"
"fb8c92b4954c8f505df6650d2f759d55","INC0303158","Vehicle VID 18640 has problem in VHF","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Hardware issue","","02.04.2026 10:33:31","","","","","PSU ICT L2 Support","02.04.2026 10:35:02"
"994c1634954c8f505df6650d2f759df3","INC0303157","? Prometheus - BN1FGT - FortigateSiteDown","4 - Low","3 - Low","3 - Low (less than 100 users)","New","Degraded Service","","02.04.2026 10:30:29","","","","","BAN ICT L2 Support","02.04.2026 10:30:29"
"040a567485044f50b210b11f4b121baf","INC0303156","laptop","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","","","02.04.2026 10:22:32","","","","","L1 ServiceDesk","02.04.2026 10:27:08"
"007adabcbc04439048ee1fdbfeb97540","INC0303155","? Prometheus - nsxt_exporter - NsxtTransportNodeStatus","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","02.04.2026 10:22:29","02.04.2026 10:30:06","","","","TI TECH CIS Networks","02.04.2026 10:30:06"
"076a96f485044f50b210b11f4b121be3","INC0303154","Assistance with forticlient","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Assistance","","02.04.2026 10:22:25","02.04.2026 10:23:56","","","","PRE ICT L2 Support","02.04.2026 10:23:56"
