"sys_id","number","short_description","priority","urgency","impact","state","category","subcategory","opened_at","resolved_at","closed_at","location","cmdb_ci","assignment_group","sys_updated_on"
"0e8a1390958c4b505df6650d2f759d8e","INC0302619","? Prometheus - gvatfsapp06p.gva.icrc.priv - WindowsServerMemoryUsage","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","01.04.2026 01:45:33","01.04.2026 02:00:06","","","","TI TECH DevOps","01.04.2026 02:00:06"
"c58a1b9095cc4b505df6650d2f759d3d","INC0302618","? Prometheus - gvaermsapp09p.gva.icrc.priv - WindowsServerCpuUsage","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","01.04.2026 01:45:28","01.04.2026 02:00:07","","","","TI DIWP OpenSource Information Preservation","01.04.2026 02:00:07"
"e5a39f1cc84c4b50f7c4a19afc1a2080","INC0302617","? Prometheus - RYAN01 Starlink 03 - StarlinkStatusState","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","01.04.2026 01:15:28","01.04.2026 04:30:10","","","","YAN ICT L2 Support","01.04.2026 04:30:10"
"bf2f031485080b50b210b11f4b121b9d","INC0302616","Last system actualization","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Hardware","","01.04.2026 00:57:55","","","","","BOG ICT L2 Support","01.04.2026 18:51:57"
"925987d8954c4b505df6650d2f759d61","INC0302615","? Prometheus - gvalnwaapp03p.gva.icrc.priv - WindowsServerMemoryUsage","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","01.04.2026 00:30:28","01.04.2026 01:00:08","","","","TI DIWP Notes Platform","01.04.2026 01:00:08"
"f2e58794954c4b505df6650d2f759d3e","INC0302614","? Prometheus - gvasatapp02p.gva.icrc.priv - LinuxOutOfMemory","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","01.04.2026 00:15:29","01.04.2026 00:30:06","","","","TI TECH HC ODE","01.04.2026 00:30:06"
"a3728b9cbc80cb5048ee1fdbfeb97541","INC0302613","? Prometheus - BEYH41.gva.icrc.priv - BackupHealthCritical","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Degraded Service","","01.04.2026 00:00:31","","","","","BEY ICT L2 Support","01.04.2026 07:24:41"
"d438bad085840b50b210b11f4b121b21","INC0302612","? Prometheus - RYAN01 Starlink 03 - StarlinkStatusState","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 23:15:32","01.04.2026 01:00:08","","","","YAN ICT L2 Support","01.04.2026 01:00:08"
"2b287e5085440b50b210b11f4b121b63","INC0302611","? Prometheus - BMEA41.gva.icrc.priv - WindowsServerDown","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 23:15:28","31.03.2026 23:30:06","","","","YAO ICT L2 Support","31.03.2026 23:30:06"
"3822761095c84b505df6650d2f759d39","INC0302610","FortiClient- unable to establish connection","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Degraded Service","","31.03.2026 22:49:04","","","","","TI TECH CIS Networks","02.04.2026 09:39:35"
"25613e1884444b90edc2850207094fb8","INC0302609","Restrict access and provide access to certain people","4 - Low","3 - Low","3 - Low (less than 100 users)","On Hold","Degraded Service","","31.03.2026 22:45:51","","","","","IM L2 Support","01.04.2026 15:19:02"
"4051b29c7108439074144e981a49cf0d","INC0302608","? Prometheus - esx03-p-b3-ch01-s5.gva.icrc.priv - VmwareHostHighDroppedPacketsRx","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 22:45:28","01.04.2026 01:00:06","","","","TI TECH CIS Core Infra","01.04.2026 01:00:06"
