"sys_id","name","city","state","country","latitude","longitude","parent"
"1d0cfe12e407f2d0b210924db5c8537b","  LASU Mobile Health Unit  (MHU) in Yei River County  CES HQ","Juba","CES","South Sudan | Soudan du Sud","","",""
"39da2cbb19277e14f7c400a2088a26f5"," 5a Mashtots ave"," Yerevan","Yerevan","Armenia","","",""
"625f84cd21db721048ee3aa99bc6ae5e"," Centre de santé de Référence de KILO ETAT HQ","KILO ETAT","","Democratic Republic of the Congo | Congo","","",""
"e852600868be7210edc230a11bb262da"," LE VILLAGE DE TAHABANAT DE LA COMMUNE DE TARKINT HQ","COMMUNE DE TARKINT","GAO","Mali | Mali","","",""
"3873100df953b2105df6589844333904","""MUNICIPAL NON-PROFIT ENTERPRISE  « PAVLOHRAD INTENSIVE CARE  HOSPITAL» OF THE PAVLOHRAD CITY  COUNC","Pavlohrad","Dnipropetrovsk region","Ukraine","","",""
"10c1d085f953b2105df658984433390c","""MUNICIPAL NON-PROFIT ENTERPRISE  “SHAKHTARSKE CITY CENTER FOR PRIMARY  HEALTH AND SANITARY CARE” "" ","Shakhtarske city","Dnipropetrovsk Region,  Synelnykovsky Di","Ukraine","","",""
"a7acc89b48baba1074147f6083fe109f","*ASACO KOKRY HQ","Kokry","","Mali | Mali","","",""
"4b7991e8b40376505df6d7bd6a2ce4ff","*CSREF DE BANDIAGARA HQ","BANDIAGARA","","Mali | Mali","","",""
"2ad38d4b48fab61074147f6083fe1078","*CSREF DE MACINA HQ","Macina","","Mali | Mali","","",""
"a9cc220348c33a1474147f6083fe103a","10 Orikhivske Highway","Zaporizhia","Zaporizhia region","Ukraine","","",""
"a13870056993f21074141fba7a07b710","1000 SHELTER IDP CAMP CLINIC HQ","Maiduguri","","Nigeria | Nigéria","","",""
"aa5afcb2e4c73ad0b210924db5c85380","102 Myru Street"," Petropavlivka village","Dnipro region, Synelnykove district","Ukraine","","",""
"f90ad9120a0a0b91005146ebac892a09","13308 Midland Road, Poway,CA","Poway","CA","USA","32.957993","-117.037319","Poway"
"d5dcee0348c33a1474147f6083fe1070","14, Dniprovska Street","Kramatorsk city","Donetsk region","Ukraine","","",""
"36845df2b44fbe905df6d7bd6a2ce48c","15 Bublichenko Street","Shevchenkove settlement","Kharkiv region, Kupiansk District","Ukraine","","",""
"9e198d36b48bbe905df6d7bd6a2ce47f","20 Yaroslav Mudryi St.,","Zolochiv","Kharkiv region, Bohodukhiv district","Ukraine","","",""
"7e417513e44bf214b210924db5c85391","20, Nezalezhnosti Street","Barvinkove city","Kharkiv Region, Izium District","Ukraine","","",""
"5306c10fc80b3ad048ee22fe5982af52","204 Svobody Street","Velyka Oleksandrivka","Kherson Region, Beryslav District,","Ukraine","","",""
"f90b5d600a0a0b91001d8bf44240ad32","243 South Escondido Boulevard, Escondido,CA","Escondido","CA","USA","33.11876","-117.083405","Escondido"
"07c5ad2b19df3e50f7c400a2088a2668","26, Chornykh Zaporozhtsiv Street","Kyiv","Kyiv city","Ukraine","","",""
